上海万向区块链股份公司,上海,20k-40k,本科
上海唯链信息科技有限公司,上海,18k-25k,本科
武汉未来科技城人才企业发展服务有限公司,武汉,15k-25k,本科
北京向上一心科技有限公司,杭州,20k-30k,本科
公司名称,城市,薪资,学历
互动峰科技（北京）有限公司,北京,22k-44k,本科
北京向上一心科技有限公司,杭州,20k-30k,本科
瑞庭网络技术（上海）有限公司,北京,20k-35k,本科
慧科讯业（北京）网络科技有限公司,北京,20k-30k,本科
奥解思信息科技（上海）有限公司,上海,12k-20k,本科
北京多来点信息技术有限公司,北京,12k-20k,本科
上海翼悟信息科技有限公司,上海,6k-12k,本科
北京格上富信基金销售有限公司,北京,10k-20k,本科
北京市商汤科技开发有限公司,深圳,20k-40k,本科
招银网络科技（深圳）有限公司,深圳,15k-25k,本科
北京致远互联软件股份有限公司,成都,15k-20k,本科
四川新龟科技有限公司,成都,10k-20k,本科
深圳市看房网科技有限公司,深圳,10k-20k,本科
北京小米科技有限责任公司,北京,20k-30k,本科
互动峰科技（北京）有限公司,北京,22k-40k,本科
公司名称,城市,薪资,学历
深圳市看房网科技有限公司,深圳,10k-20k,本科
北京东方国信科技股份有限公司,北京,15k-25k,本科
北京转转精神科技有限责任公司,北京,18k-30k,本科
商线科技（深圳）有限公司,广州,13k-25k,本科
蓝箭航天空间科技股份有限公司,北京,25k-35k,本科
北京市商汤科技开发有限公司,深圳,20k-40k,本科
杭州涂鸦信息技术有限公司,杭州,14k-27k,本科
四川新龟科技有限公司,成都,10k-20k,本科
深圳市法本信息技术股份有限公司,北京,12k-17k,大专
北京嘀嘀无限科技发展有限公司,北京,25k-50k,本科
南通云尚找家纺电子商务有限公司,杭州,14k-18k,大专
中电领航（北京）信息咨询有限公司,北京,11k-17k,本科
格尔软件股份有限公司,上海,15k-25k,本科
Foris Limited,深圳,20k-35k,本科
深圳华锐金融技术股份有限公司,上海,9k-18k,本科
公司名称,城市,薪资,学历
煜象科技（杭州）有限公司,杭州,15k-20k,本科
北京京东世纪贸易有限公司,北京,20k-40k,本科
上海识装信息科技有限公司,上海,15k-30k,不限
成都联动凯睿信息技术有限公司,上海,25k-40k,本科
北京甲子营科技有限公司,北京,7k-13k,本科
北京美餐巧达科技有限公司,北京,25k-50k,本科
北京汉克时代科技有限公司,杭州,7k-14k,本科
北京百家科技集团有限公司,北京,25k-50k,本科
杭州图尔兹信息技术有限公司,杭州,15k-20k,本科
北京市商汤科技开发有限公司,北京,25k-50k,本科
杭州觅睿科技股份有限公司,杭州,12k-18k,本科
上海欢动科技有限公司,上海,9k-18k,本科
深圳云端软件有限公司,深圳,12k-18k,本科
北京鲸榄网络科技有限公司,北京,15k-30k,本科
百度时代网络技术（北京）有限公司,北京,16k-32k,本科
公司名称,城市,薪资,学历
北京瑞达恒建筑咨询有限公司广州分公司,广州,6k-11k,本科
上海莉莉丝科技股份有限公司,上海,15k-25k,不限
奥解思信息科技（上海）有限公司,上海,15k-20k,本科
上海微创软件股份有限公司,上海,14k-17k,本科
奥解思信息科技（上海）有限公司,上海,12k-20k,本科
我爱我家控股集团股份有限公司,上海,15k-25k,本科
北京多来点信息技术有限公司,北京,12k-20k,本科
汉熵通信有限公司,北京,15k-25k,本科
上海微创软件股份有限公司,杭州,10k-17k,大专
北京奥式生活科技股份有限公司,北京,15k-25k,本科
百望股份有限公司,北京,11k-22k,本科
上海万向区块链股份公司,上海,8k-12k,本科
上海众调信息科技有限公司,上海,10k-20k,本科
广州太平洋电脑信息咨询有限公司,广州,12k-18k,本科
北京声智科技有限公司,苏州,12k-24k,本科
公司名称,城市,薪资,学历
浙江智贝信息科技有限公司,杭州,8k-16k,本科
深圳乐播科技有限公司,深圳,15k-25k,本科
上海睿民互联网科技有限公司,深圳,6k-12k,本科
北京三快在线科技有限公司,北京,25k-40k,不限
杉数科技（北京）有限公司,北京,15k-23k,本科
上海亿山睦教育科技有限公司,上海,15k-20k,本科
惠众信用评级（浙江）有限公司,杭州,12k-20k,本科
火眼云（北京）科技有限公司,北京,15k-25k,本科
上海万向区块链股份公司,上海,8k-12k,本科
爱客科技（深圳）有限公司,深圳,15k-25k,本科
阳光保险集团股份有限公司,北京,18k-30k,本科
中电领航（北京）信息咨询有限公司,北京,11k-17k,本科
北京东方国信科技股份有限公司,北京,9k-14k,本科
深圳北纬三十度信息科技有限公司,深圳,15k-25k,大专
杭州咿啦科技有限公司,杭州,10k-15k,本科
公司名称,城市,薪资,学历
北京东方国信科技股份有限公司,北京,9k-14k,本科
深圳北纬三十度信息科技有限公司,深圳,15k-25k,大专
上海微创软件股份有限公司,北京,10k-16k,本科
软视视频软件（杭州）有限公司,合肥,12k-20k,本科
我爱我家控股集团股份有限公司,上海,10k-20k,本科
广州有信科技有限公司,广州,10k-20k,本科
深圳北纬三十度信息科技有限公司,北京,20k-30k,大专
北京快成科技股份公司,北京,10k-20k,本科
杭州蚊子会数字营销有限公司,杭州,15k-20k,本科
易宝软件科技（南京）有限公司,南京,15k-25k,本科
深圳数位传媒科技有限公司,深圳,10k-20k,本科
北京友生意科技有限公司,北京,10k-20k,本科
北京拉克沙网络科技有限公司,北京,10k-20k,本科
上海磐农信息科技有限公司,上海,8k-12k,本科
深圳市一面网络技术有限公司,深圳,10k-20k,本科
公司名称,城市,薪资,学历
福建朴朴信息技术有限公司,深圳,11k-22k,本科
易宝软件科技（南京）有限公司,南京,15k-25k,本科
北京联龙博通电子商务技术有限公司,成都,8k-11k,本科
上海艾融软件股份有限公司,上海,10k-14k,大专
上海大岂网络科技有限公司,上海,12k-20k,本科
上海倾听信息技术有限公司,北京,15k-30k,本科
深圳市一面网络技术有限公司,深圳,10k-20k,本科
北京瑞友科技股份有限公司,上海,15k-23k,本科
北京兰云科技有限公司,北京,10k-17k,本科
北京多来点信息技术有限公司,北京,12k-20k,本科
万汇互联（深圳）科技有限公司,深圳,13k-18k,本科
深圳市证通电子股份有限公司,广州,8k-13k,本科
深圳有咖互动科技有限公司,北京,12k-20k,本科
深圳微众信用科技股份有限公司,深圳,10k-15k,本科
深圳市一面网络技术有限公司,深圳,10k-20k,本科
公司名称,城市,薪资,学历
杭州群核信息技术有限公司,杭州,20k-40k,本科
北京兰云科技有限公司,北京,10k-17k,本科
北京螳螂科技有限公司,北京,12k-15k,本科
